run_number,total_run_time,viper_initial_contact_range,viper_initial_contact_ata,viper_initial_contact_aa,viper_briefed_behavior,viper_briefed_launch_range,viper_briefed_evasion_range,viper_alive,cobra_initial_contact_range,cobra_initial_contact_ata,cobra_initial_contact_aa,cobra_briefed_behavior,cobra_briefed_launch_range,cobra_briefed_evasion_range,cobra_alive,outcome,viper_launched,viper_launch_range,viper_time_at_launch,cobra_launched,cobra_launch_range,cobra_time_at_launch,viper_time_in_UNKNOWN,cobra_time_in_UNKNOWN,viper_time_in_NEUTRAL,cobra_time_in_NEUTRAL,viper_time_in_DEFENSIVE,cobra_time_in_DEFENSIVE,viper_time_in_HEADON,cobra_time_in_HEADON,viper_time_in_OFFENSIVE,cobra_time_in_OFFENSIVE
832,127.6,60000.0,0.0,180.0,BehaviorType.ATTACK,55661.54773029672,16338.054185060237,1,60000.0,0.0,180.0,BehaviorType.ATTACK,26416.1040567986,66621.5908888064,1,BOTH_SURVIVED,True,55590.0,7.4,False,-1.0,-1.0,0.2,0.2,0.0,0.0,0.0,93.89999999999894,33.60000000000021,33.60000000000021,93.89999999999894,0.0
833,165.3,60000.0,0.0,180.0,BehaviorType.ATTACK,59618.74573645098,48164.37360750881,1,60000.0,0.0,180.0,BehaviorType.ATTACK,36549.398831575585,13092.773235739767,1,BOTH_SURVIVED,True,59550.0,0.8,True,36459.793,45.1,0.2,0.2,0.0,0.0,106.19999999999824,0.0,59.00000000000057,59.00000000000057,0.0,106.19999999999824
834,120.6,60000.0,0.0,180.0,BehaviorType.ATTACK,65694.36784226085,19274.12809840759,1,60000.0,0.0,180.0,BehaviorType.ATTACK,20632.664795148507,53449.749897706606,1,BOTH_SURVIVED,True,59790.0,0.4,False,-1.0,-1.0,0.2,0.2,0.0,0.0,0.0,85.09999999999944,35.40000000000023,35.40000000000023,85.09999999999944,0.0
835,120.6,60000.0,0.0,180.0,BehaviorType.ATTACK,69097.97043817778,9963.69084581286,1,60000.0,0.0,180.0,BehaviorType.ATTACK,39687.93947007027,62647.71768110472,1,BOTH_SURVIVED,True,59790.0,0.4,False,-1.0,-1.0,0.2,0.2,0.0,0.0,0.0,93.89999999999894,26.600000000000108,26.600000000000108,93.89999999999894,0.0
836,120.6,60000.0,0.0,180.0,BehaviorType.ATTACK,48729.99621164548,960.0962043287531,1,60000.0,0.0,180.0,BehaviorType.ATTACK,64525.11412533689,49251.53784229261,1,BOTH_SURVIVED,True,48670.649,19.4,True,59790.0,0.4,0.2,0.2,0.0,0.0,0.0,93.19999999999898,27.300000000000118,27.300000000000118,93.19999999999898,0.0
837,112.0,60000.0,0.0,180.0,BehaviorType.ATTACK,35213.5437805259,58951.29032078048,0,60000.0,0.0,180.0,BehaviorType.ATTACK,28053.770060394632,121.59586635688058,1,COBRA_WIN,True,35130.0,41.5,True,27958.181,53.5,0.2,0.2,0.0,0.0,44.80000000000037,0.0,67.00000000000047,67.00000000000047,0.0,44.90000000000037
838,120.6,60000.0,0.0,180.0,BehaviorType.ATTACK,51556.5634124781,48440.39582400168,1,60000.0,0.0,180.0,BehaviorType.ATTACK,60980.47396151468,22620.619715769615,1,BOTH_SURVIVED,True,51449.592,14.4,True,59790.0,0.4,0.2,0.2,0.0,0.0,81.59999999999964,0.0,38.90000000000028,38.90000000000028,0.0,81.59999999999964
839,120.6,60000.0,0.0,180.0,BehaviorType.ATTACK,66916.76618818383,68988.88123967526,1,60000.0,0.0,180.0,BehaviorType.ATTACK,26650.848256258163,62250.32958043496,1,BOTH_SURVIVED,True,59790.0,0.4,False,-1.0,-1.0,0.2,0.2,0.0,0.0,0.0,93.89999999999894,26.600000000000108,26.600000000000108,93.89999999999894,0.0
840,146.9,60000.0,0.0,180.0,BehaviorType.ATTACK,44122.72802533909,41343.22134461692,1,60000.0,0.0,180.0,BehaviorType.ATTACK,32894.67685385928,51641.08827686023,1,BOTH_SURVIVED,True,44010.0,26.7,True,32819.142,46.5,0.2,0.2,92.49999999999902,92.49999999999902,0.0,1.4000000000000001,52.90000000000048,52.90000000000048,1.4000000000000001,0.0
841,65.0,60000.0,0.0,180.0,BehaviorType.ATTACK,24271.338417116283,1220.8666103279663,0,60000.0,0.0,180.0,BehaviorType.ATTACK,57314.89377500237,4172.240286188802,1,COBRA_WIN,False,-1.0,-1.0,True,57210.0,4.7,0.2,0.2,0.0,0.0,0.0,0.0,64.8000000000006,64.90000000000059,0.0,0.0
