run_number,total_run_time,viper_initial_contact_range,viper_initial_contact_ata,viper_initial_contact_aa,viper_briefed_behavior,viper_briefed_launch_range,viper_briefed_evasion_range,viper_alive,cobra_initial_contact_range,cobra_initial_contact_ata,cobra_initial_contact_aa,cobra_briefed_behavior,cobra_briefed_launch_range,cobra_briefed_evasion_range,cobra_alive,outcome,viper_launched,viper_launch_range,viper_time_at_launch,cobra_launched,cobra_launch_range,cobra_time_at_launch
59,300.0,50000.0,0.001,179.99900000000002,BehaviorType.ATTACK,49153.68820267194,23525.327879116077,1,50000.0,0.001,179.99900000000002,BehaviorType.ATTACK,49172.188020446156,36514.98048282414,1,BOTH_SURVIVED,True,49070.0,1.6,True,49070.0,1.6
60,300.0,50000.0,-0.008,-179.99200000000002,BehaviorType.ATTACK,49416.46022724049,10377.73796411583,1,50000.0,-0.008,-179.99200000000002,BehaviorType.ATTACK,49038.36508705167,41335.195541995345,1,BOTH_SURVIVED,True,49310.0,1.2,True,48950.0,1.8
61,300.0,50000.0,0.002,179.998,BehaviorType.ATTACK,49070.10170579069,29556.19826771323,0,50000.0,0.002,179.998,BehaviorType.ATTACK,49034.566145992176,13647.048005958124,1,COBRA_WIN,True,49010.0,1.7,True,48950.0,1.8
62,300.0,50000.0,-0.003,-179.997,BehaviorType.ATTACK,49390.85406199935,14445.21686092735,0,50000.0,-0.003,-179.997,BehaviorType.ATTACK,49809.35416228266,12045.161778948304,1,COBRA_WIN,True,49310.0,1.2,True,49730.0,0.5
63,300.0,50000.0,-0.004,-179.99599999999998,BehaviorType.ATTACK,49699.29844601694,10770.449743354127,1,50000.0,-0.004,-179.99599999999998,BehaviorType.ATTACK,49510.10779419751,45399.2771179104,1,BOTH_SURVIVED,True,49610.0,0.7,True,49430.0,1.0
64,300.0,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49870.75817293887,6327.733976455396,1,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49252.79010542348,20371.09812812704,0,VIPER_WIN,True,49790.0,0.4,True,49190.0,1.4
65,300.0,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49092.555739568925,25597.767962572176,0,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49611.73137643297,4689.7181522567835,1,COBRA_WIN,True,49010.0,1.7,True,49550.0,0.8
66,300.0,50000.0,-0.006,-179.99400000000003,BehaviorType.ATTACK,49969.478386332026,2285.538664962167,1,50000.0,-0.006,-179.99400000000003,BehaviorType.ATTACK,49738.57815366641,37718.59732993112,1,BOTH_SURVIVED,True,49790.0,0.4,True,49670.0,0.6
67,300.0,50000.0,-0.006,-179.99400000000003,BehaviorType.ATTACK,49629.766245380444,1769.6714237585343,0,50000.0,-0.006,-179.99400000000003,BehaviorType.ATTACK,49861.970590053155,17065.942887368663,1,COBRA_WIN,True,49550.0,0.8,True,49790.0,0.4
68,300.0,50000.0,0.004,179.99599999999998,BehaviorType.ATTACK,49974.30750845793,36435.01636498397,1,50000.0,0.004,179.99599999999998,BehaviorType.ATTACK,49844.93611821447,31384.58354917848,1,BOTH_SURVIVED,True,49790.0,0.4,True,49730.0,0.5
69,300.0,50000.0,0.001,179.99900000000002,BehaviorType.ATTACK,49856.22926325242,48967.494690044165,1,50000.0,0.001,179.99900000000002,BehaviorType.ATTACK,49548.41569654728,40508.507559069134,1,BOTH_SURVIVED,True,49790.0,0.4,True,49430.0,1.0
70,300.0,50000.0,0.005,179.995,BehaviorType.ATTACK,49697.269614146135,39086.12188036631,1,50000.0,0.005,179.995,BehaviorType.ATTACK,49879.598761598056,13309.195401657065,1,BOTH_SURVIVED,True,49610.0,0.7,True,49790.0,0.4
71,300.0,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49871.63421375072,9073.535288823703,1,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49213.20988782441,49111.95550251342,1,BOTH_SURVIVED,True,49790.0,0.4,True,49130.0,1.5
72,300.0,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49626.928770141036,49188.17788523958,1,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49658.83946574136,6338.473952843781,1,BOTH_SURVIVED,True,49550.0,0.8,True,49550.0,0.8
73,300.0,50000.0,0.004,179.99599999999998,BehaviorType.ATTACK,49616.01959965477,19317.65283293317,1,50000.0,0.004,179.99599999999998,BehaviorType.ATTACK,49200.10707963877,40670.80493613591,1,BOTH_SURVIVED,True,49550.0,0.8,True,49130.0,1.5
74,300.0,50000.0,-0.005,-179.995,BehaviorType.ATTACK,49692.27188893282,47429.73178769915,1,50000.0,-0.005,-179.995,BehaviorType.ATTACK,49300.753906090606,25416.204943608016,1,BOTH_SURVIVED,True,49610.0,0.7,True,49190.0,1.4
