,test_id,kcid,lmc_prior_code,lengthscale_prior_code,input,time_to_converge,iterations_to_converge
36,0.0,0.0,2.0,1.0,3.0,15.553559,525.0
37,0.0,0.0,2.0,1.0,3.0,11.727657,394.0
38,0.0,0.0,2.0,1.0,3.0,15.653564,525.0
39,0.0,0.0,2.0,1.0,3.0,12.306414,419.0
40,0.0,1.0,2.0,1.0,0.0,12.181701,394.0
41,0.0,1.0,2.0,1.0,0.0,12.257558,394.0
42,0.0,1.0,2.0,1.0,0.0,12.28536,394.0
43,0.0,1.0,2.0,1.0,0.0,16.477905,525.0
44,0.0,1.0,2.0,1.0,0.0,17.677593,570.0
45,0.0,1.0,2.0,1.0,0.0,16.362642,525.0
46,0.0,1.0,2.0,1.0,0.0,12.33231,394.0
47,0.0,1.0,2.0,1.0,0.0,14.937955,487.0
48,0.0,1.0,2.0,1.0,0.0,32.542801,1058.0
49,0.0,1.0,2.0,1.0,0.0,26.426617,855.0
50,0.0,1.0,2.0,1.0,1.0,17.40512,549.0
51,0.0,1.0,2.0,1.0,1.0,19.921457,628.0
52,0.0,1.0,2.0,1.0,1.0,16.366029,516.0
53,0.0,1.0,2.0,1.0,1.0,17.76907,564.0
54,0.0,1.0,2.0,1.0,1.0,17.417515,556.0
55,0.0,1.0,2.0,1.0,1.0,17.096971,549.0
56,0.0,1.0,2.0,1.0,1.0,24.514545,778.0
57,0.0,1.0,2.0,1.0,1.0,7.835205,252.0
58,0.0,1.0,2.0,1.0,1.0,15.124944,487.0
59,0.0,1.0,2.0,1.0,1.0,19.533558,628.0
60,0.0,1.0,2.0,1.0,2.0,16.303823,525.0
61,0.0,1.0,2.0,1.0,2.0,11.748993,383.0
62,0.0,1.0,2.0,1.0,2.0,12.82338,419.0
63,0.0,1.0,2.0,1.0,2.0,25.614396,836.0
64,0.0,1.0,2.0,1.0,2.0,16.03042,525.0
65,0.0,1.0,2.0,1.0,2.0,18.900912,621.0
66,0.0,1.0,2.0,1.0,2.0,19.74251,647.0
67,0.0,1.0,2.0,1.0,2.0,19.604293,647.0
68,0.0,1.0,2.0,1.0,2.0,11.585831,383.0
69,0.0,1.0,2.0,1.0,2.0,11.639094,383.0
70,0.0,1.0,2.0,1.0,3.0,15.801547,525.0
71,0.0,1.0,2.0,1.0,3.0,14.914189,487.0
72,0.0,1.0,2.0,1.0,3.0,19.925761,647.0
73,0.0,1.0,2.0,1.0,3.0,16.301907,525.0
74,0.0,1.0,2.0,1.0,3.0,7.612896,246.0
75,0.0,1.0,2.0,1.0,3.0,11.794102,383.0
76,0.0,1.0,2.0,1.0,3.0,16.143504,525.0
77,0.0,1.0,2.0,1.0,3.0,7.504137,246.0
78,0.0,1.0,2.0,1.0,3.0,12.692939,419.0
79,0.0,1.0,2.0,1.0,3.0,16.003091,525.0
80,0.0,2.0,2.0,1.0,0.0,12.494327,394.0
81,0.0,2.0,2.0,1.0,0.0,12.235928,394.0
82,0.0,2.0,2.0,1.0,0.0,12.30212,394.0
83,0.0,2.0,2.0,1.0,0.0,12.324489,394.0
84,0.0,2.0,2.0,1.0,0.0,12.438827,394.0
85,0.0,2.0,2.0,1.0,0.0,17.655142,570.0
86,0.0,2.0,2.0,1.0,0.0,12.25755,394.0
87,0.0,2.0,2.0,1.0,0.0,12.246535,394.0
