,test_id,kcid,lmc_prior_code,lengthscale_prior_code,input,test_data,elpd_waic,p_waic,se,warning,n_data_points,n_samples,scale,elpd_waic_y0,elpd_waic_y1,elpd_waic_y2,elpd_waic_y3,elpd_waic_y4
106,0,2,2,1,2,1,8144.683821451868,4.0291593272263775,277.20696370829256,False,1960,300,log,-372.39686,4387.76223,4387.6867,-138.58041,-119.78784
107,0,2,2,1,2,1,8145.758306997439,3.0667125235801063,277.2291428501762,False,1960,300,log,-371.05329,4387.99456,4387.07838,-138.11755,-120.14379
108,0,2,2,1,2,1,8143.823354611532,3.717681504021532,277.24294063546944,False,1960,300,log,-371.30838,4387.71493,4387.99328,-140.48102,-120.09545
109,0,2,2,1,2,1,8146.0157219659695,2.93426346205139,277.22740159602614,False,1960,300,log,-371.2601,4387.55277,4387.48681,-138.40943,-119.35432
110,0,2,2,1,3,1,8202.932891945276,4.7417516985809165,280.19470070193245,False,1960,300,log,-349.19621,4434.85895,4434.25599,-172.03548,-144.95037
111,0,2,2,1,3,1,8206.02033053312,4.349820589975608,280.16249103945336,False,1960,300,log,-344.09933,4433.70379,4434.09518,-172.59148,-145.08782
112,0,2,2,1,3,1,8207.28773939753,3.6698112731602395,280.18524416410696,False,1960,300,log,-345.39367,4434.35011,4434.62781,-172.14231,-144.1542
113,0,2,2,1,3,1,8205.14157863764,3.9775890008104673,280.1417628952867,False,1960,300,log,-344.63522,4433.94458,4434.39979,-172.72054,-145.84703
114,0,2,2,1,3,1,8207.08256357787,3.2345126792286005,280.1392088695248,False,1960,300,log,-343.80976,4434.25997,4433.98275,-172.45594,-144.89445
115,0,2,2,1,3,1,8201.865171285994,4.123370726126121,280.27977295661225,False,1960,300,log,-344.31713,4434.7147,4434.03443,-172.48774,-150.07909
116,0,2,2,1,3,1,8206.228730103481,3.5423441149380297,280.2202208678251,False,1960,300,log,-345.16298,4435.32984,4433.77092,-172.40202,-145.30704
117,0,2,2,1,3,1,8207.078966384353,3.674101718604531,280.1867779441727,False,1960,300,log,-344.52676,4434.24914,4434.85912,-172.14517,-145.35736
118,0,2,2,1,3,1,8206.920471618192,3.567479079375534,279.9990266400425,False,1960,300,log,-344.31909,4433.84148,4433.6004,-172.64163,-143.56069
119,0,2,2,1,3,1,8205.753761223215,3.3780552491993485,280.1443907172087,False,1960,300,log,-344.39844,4434.15835,4434.01757,-172.50754,-145.51619
120,0,3,2,1,0,1,8153.053146453562,4.429743887216594,277.3037507652279,False,1960,300,log,-371.29557,4389.89308,4390.09414,-123.41444,-132.22406
121,0,3,2,1,0,1,8159.51137300317,3.3865010000183373,277.25686380009995,False,1960,300,log,-369.12827,4391.26494,4390.40346,-122.04273,-130.98602
122,0,3,2,1,0,1,8157.159142613227,4.028414072872605,277.2859320515704,False,1960,300,log,-370.66819,4390.92706,4390.94455,-123.47062,-130.57366
