,test_id,kcid,lmc_prior_code,lengthscale_prior_code,input,weight,y0,y3,y4
135,0,1,2,1,0,unweighted,-0.1717,0.2861,-0.0799
136,0,1,2,1,0,linear,0.3888,0.2861,-0.0799
137,0,1,2,1,0,quadratic,0.6492,0.2861,-0.0799
138,0,1,2,1,0,unweighted,-0.1717,0.3388,-0.0799
139,0,1,2,1,0,linear,0.3888,0.3388,-0.0799
140,0,1,2,1,0,quadratic,0.6492,0.3388,-0.0799
141,0,1,2,1,0,unweighted,-0.1717,0.3727,-0.0799
142,0,1,2,1,0,linear,0.3888,0.3727,-0.0799
143,0,1,2,1,0,quadratic,0.6492,0.3727,-0.0799
144,0,1,2,1,0,unweighted,-0.1717,-0.0859,-0.0799
145,0,1,2,1,0,linear,0.3888,-0.0859,-0.0799
146,0,1,2,1,0,quadratic,0.6492,-0.0859,-0.0799
147,0,1,2,1,0,unweighted,-0.1717,0.1855,-0.0799
148,0,1,2,1,0,linear,0.3888,0.1855,-0.0799
149,0,1,2,1,0,quadratic,0.6492,0.1855,-0.0799
150,0,1,2,1,1,unweighted,-0.1616,-0.0859,-0.0799
151,0,1,2,1,1,linear,0.3969,-0.0859,-0.0799
152,0,1,2,1,1,quadratic,0.655,-0.0859,-0.0799
153,0,1,2,1,1,unweighted,-0.1578,-0.0859,-0.0799
154,0,1,2,1,1,linear,0.3946,-0.0859,-0.0799
155,0,1,2,1,1,quadratic,0.6519,-0.0859,-0.0799
156,0,1,2,1,1,unweighted,-0.1603,-0.0859,-0.0799
157,0,1,2,1,1,linear,0.3961,-0.0859,-0.0799
158,0,1,2,1,1,quadratic,0.654,-0.0859,-0.0799
159,0,1,2,1,1,unweighted,-0.159,-0.0859,-0.0799
160,0,1,2,1,1,linear,0.3954,-0.0859,-0.0799
161,0,1,2,1,1,quadratic,0.653,-0.0859,-0.0799
162,0,1,2,1,1,unweighted,-0.1555,-0.0859,-0.0799
163,0,1,2,1,1,linear,0.3976,-0.0859,-0.0799
164,0,1,2,1,1,quadratic,0.6527,-0.0859,-0.0799
165,0,1,2,1,1,unweighted,-0.1717,-0.0859,-0.0799
166,0,1,2,1,1,linear,0.3888,-0.0859,-0.0799
167,0,1,2,1,1,quadratic,0.6492,-0.0859,-0.0799
168,0,1,2,1,1,unweighted,-0.1158,-0.0859,-0.0799
169,0,1,2,1,1,linear,0.4093,-0.0859,-0.0799
170,0,1,2,1,1,quadratic,0.6524,-0.0859,-0.0799
171,0,1,2,1,1,unweighted,-0.1717,-0.0859,-0.0799
172,0,1,2,1,1,linear,0.3888,-0.0859,-0.0799
173,0,1,2,1,1,quadratic,0.6492,-0.0859,-0.0799
174,0,1,2,1,1,unweighted,-0.1481,-0.0859,-0.0799
175,0,1,2,1,1,linear,0.4025,-0.0859,-0.0799
176,0,1,2,1,1,quadratic,0.6576,-0.0859,-0.0799
177,0,1,2,1,1,unweighted,-0.1333,-0.0859,-0.0799
178,0,1,2,1,1,linear,0.4025,-0.0859,-0.0799
179,0,1,2,1,1,quadratic,0.651,-0.0859,-0.0799
180,0,1,2,1,2,unweighted,-0.1717,-0.0859,0.1687
181,0,1,2,1,2,linear,0.3888,-0.0859,0.1687
182,0,1,2,1,2,quadratic,0.6492,-0.0859,0.1687
183,0,1,2,1,2,unweighted,-0.1717,-0.0859,0.2416
184,0,1,2,1,2,linear,0.3888,-0.0859,0.2416
185,0,1,2,1,2,quadratic,0.6492,-0.0859,0.2416
186,0,1,2,1,2,unweighted,-0.1717,-0.0859,0.3046
187,0,1,2,1,2,linear,0.3888,-0.0859,0.3046
188,0,1,2,1,2,quadratic,0.6492,-0.0859,0.3046
189,0,1,2,1,2,unweighted,-0.1717,-0.0859,0.1926
190,0,1,2,1,2,linear,0.3888,-0.0859,0.1926
191,0,1,2,1,2,quadratic,0.6492,-0.0859,0.1926
192,0,1,2,1,2,unweighted,-0.1717,-0.0859,0.2611
193,0,1,2,1,2,linear,0.3888,-0.0859,0.2611
194,0,1,2,1,2,quadratic,0.6492,-0.0859,0.2611
195,0,1,2,1,2,unweighted,-0.1717,-0.0859,0.2469
196,0,1,2,1,2,linear,0.3888,-0.0859,0.2469
197,0,1,2,1,2,quadratic,0.6492,-0.0859,0.2469
198,0,1,2,1,2,unweighted,-0.1717,-0.0859,0.1024
199,0,1,2,1,2,linear,0.3888,-0.0859,0.1024
200,0,1,2,1,2,quadratic,0.6492,-0.0859,0.1024
201,0,1,2,1,2,unweighted,-0.1717,-0.0859,0.1132
202,0,1,2,1,2,linear,0.3888,-0.0859,0.1132
203,0,1,2,1,2,quadratic,0.6492,-0.0859,0.1132
204,0,1,2,1,2,unweighted,-0.1717,-0.0859,0.2267
205,0,1,2,1,2,linear,0.3888,-0.0859,0.2267
206,0,1,2,1,2,quadratic,0.6492,-0.0859,0.2267
207,0,1,2,1,2,unweighted,-0.1717,-0.0859,0.2576
208,0,1,2,1,2,linear,0.3888,-0.0859,0.2576
209,0,1,2,1,2,quadratic,0.6492,-0.0859,0.2576
210,0,1,2,1,3,unweighted,-0.1717,-0.0859,-0.0799
211,0,1,2,1,3,linear,0.3888,-0.0859,-0.0799
212,0,1,2,1,3,quadratic,0.6492,-0.0859,-0.0799
213,0,1,2,1,3,unweighted,-0.1717,-0.0859,-0.0799
214,0,1,2,1,3,linear,0.3888,-0.0859,-0.0799
