,test_id,kcid,lmc_prior_code,lengthscale_prior_code,input,lmc_coeff
10,0,0,2,1,1,"[ 3.61751467e-01 -1.03240883e+00  1.07262470e-02  1.48347032e+00
 -5.85255861e-01 -1.05485404e+00  1.00408363e+00  9.54809710e-02
  4.35058832e-01 -6.32787943e-01  2.23831922e-01  1.06450593e+00
 -9.62774813e-01  4.30391788e-01  2.40819454e+00  1.52502334e+00
 -5.80235064e-01  1.38210809e+00 -2.23706865e+00  1.74916470e+00
  3.27526301e-01 -3.30692112e-01 -3.60363573e-02  1.23950839e+00
 -2.15852493e-03  2.66406517e-02  6.89548492e-01 -4.54423308e-01
 -8.19356561e-01  2.50405003e-03  3.67572397e-01 -9.59495306e-01
 -7.77815461e-01 -2.15651941e+00  9.23413754e-01  1.84441179e-01
 -5.31250119e-01  6.90321848e-02  6.89666331e-01  1.65267110e-01
  1.03749491e-01 -2.70118304e-02 -2.47464746e-01  6.94689453e-01
 -1.42183304e-01  1.22953594e-01  1.54351461e+00  7.53963411e-01]"
11,0,0,2,1,1,"[-0.7638154   1.3550329  -1.8429258   0.9168271   0.00438276 -0.59056604
  0.4463526   0.7140365   0.17567466 -0.19733238  0.4379216   0.24787536
 -0.8319238   0.13623242  1.2602937   0.12181579 -0.2006691   3.368614
 -1.5868186   0.20841374  0.09069115  0.05575471 -1.2373954   0.40601006
 -0.27972955 -0.08403463  0.6575056  -1.5507171   0.10482612  0.00857932
 -2.2686627  -2.1244545   0.54842186  2.5142665  -0.20664974  0.15650973
  0.8662296   0.7954372  -1.1287774   0.2746355  -0.4308936   0.66159356
 -0.0557887  -1.2857075   0.5241461  -0.51514477 -2.3515627  -1.8243184 ]"
12,0,0,2,1,1,"[-0.03090371  2.9697008  -1.3334438   1.5189124  -0.21881934 -0.70054424
  0.19342661  0.7513721   0.1253873  -0.2803266   0.5121117   0.16162819
 -0.7294825   0.16698359  0.87659395 -0.01774609  0.30989626  1.9771699
  0.02926302 -1.3318125   0.10952926  0.81751037 -1.184768    0.18841985
 -0.4639603   0.23018801 -0.32242882 -0.9685584   1.0519876  -0.31501704
 -2.9953957  -1.4878877  -0.36823457  2.2365527  -1.5386999   0.305189
  0.75811845  0.2758212  -1.0401645   0.27118513 -0.28393993  0.65543
  0.48694298 -1.191902    0.11563107 -0.35801917 -1.5599365  -1.8352504 ]"
13,0,0,2,1,1,"[ 0.0389071  -0.0141627  -1.070831    2.2494946  -0.60098153 -1.3215142
  0.56991404  0.47017077  0.36179352 -0.67293376  0.41553816  0.5279641
 -1.344123    0.36950198  2.3968472   0.75679535  0.39530072 -1.3853185
  1.6499044  -0.89530563 -0.50051594 -0.28490567  0.4135764  -0.57966846
  0.22203277 -0.40708587 -0.2044882   0.8910279   0.4223871   0.33271703
  1.4051195   1.3812841   0.04193296  2.8293705  -1.8074453   0.5658605
  0.657942    0.05332297 -1.2463707   0.8153126  -0.28710288  0.55872434
  0.9764514  -0.9898346   0.525423   -0.1844167  -1.4519787  -2.052377  ]"
14,0,0,2,1,1,"[-1.3022653   1.377099   -3.07127     1.1144521  -0.22699107 -1.0008572
  0.0553805   0.7293828   0.14574873 -0.33405602  0.6527407  -0.08946862
 -1.0745982   0.14485705  1.1440157  -0.46819946  0.92666477 -1.8886284
  1.8038533   0.40996614 -1.0368139  -0.5280495   1.1127546  -1.0371886
  0.34232634 -0.75665057 -0.5569738   1.0877877  -0.04113239  0.3055696
  2.6670325   1.8360324  -0.06070623  1.9523087  -1.8167481  -0.8352756
  0.1856742   0.80103415 -0.8943471  -0.64548284 -0.4510373   0.79979056
  0.422222   -0.9811688   1.8815188  -0.5375702  -1.0886145  -2.2536156 ]"
15,0,0,2,1,1,"[-1.3370775e-01  1.7595607e+00 -1.1006076e+00  1.3728006e+00
 -2.5715980e-01 -7.6754528e-01  3.0649623e-01  5.1058519e-01
  1.7983483e-01 -1.1104569e-01  6.2690437e-01  3.9583135e-01
 -6.1768162e-01  1.5289074e-01  1.2756511e+00  1.7923756e-01
 -2.4072939e-01  2.5516140e+00 -1.8874335e+00  1.1688930e-01
 -2.3882906e-01 -5.3791785e-01 -1.6444461e+00  2.0873621e-01
 -3.7687680e-01  5.9296411e-01  8.5259533e-01 -1.2226357e+00
  3.2017180e-01 -5.6166756e-01 -1.8827299e+00 -2.1159971e+00
 -5.0035167e-01  2.0570865e+00 -6.0079044e-01  9.1429725e-02
  6.2049729e-01  4.5494068e-01 -4.5935476e-01 -3.3032945e-01
  6.1346311e-04  1.3288397e-01 -4.4910976e-01 -1.4471661e-01
 -8.2214557e-02  3.6177394e-01 -5.4728144e-01 -2.3441610e-01]"
16,0,0,2,1,1,"[-0.19660042  2.9287717  -1.1512365   1.4048446   0.12444369 -0.37681472
  0.53814435  0.7314121   0.20849007 -0.05346075  0.43731913  0.25337046
 -0.65600604  0.06793595  1.1086804   0.06656956 -0.6472726   1.8429472
 -0.5581906  -0.8552735   0.5670897   0.7823262  -0.44883698 -0.13169919
 -0.07409145  0.7698797  -0.31478894 -0.59677905  0.64657336 -0.56219506
 -1.5073576  -0.9372803   1.1239662   3.2650952  -1.051488    1.3411329
  0.52105826 -0.01351056 -1.6302842   0.8870089  -0.636079    0.15895699
  1.0449812  -1.5261106   0.07571319  0.01464119 -2.3493006  -2.4667616 ]"
17,0,0,2,1,1,"[ 0.24355881 -0.9828777   1.1812097  -1.3302116   0.13771681  0.6332416
 -0.36950865 -0.56681746 -0.17214444  0.32981682 -0.3862369  -0.18093675
  0.8273133  -0.17803983 -1.2412837  -0.21097678  0.66417354 -2.3531125
  2.0078323  -0.3893184  -0.17288415  0.04001711  1.1321791  -0.5299783
  0.3877394  -0.2421509  -0.8053313   1.0162874  -0.02665639  0.29191074
  1.3231442   1.2483238   0.27173132 -1.463533    1.6515195   0.01276883
 -0.79150456 -0.16037594  0.3887817  -0.4047857  -0.07470496 -0.6072922
  0.16455036  0.6604876   0.026112    0.10331928  1.1654652   2.015084  ]"
18,0,0,2,1,1,"[ 1.2113268  -1.039333    0.30281714  3.9470844  -0.16717702 -1.0093968
  2.0224378   1.1105194   0.74276555 -0.95320916  0.362565    1.342442
 -1.7139215   0.5970503   3.809909    2.1902726  -0.43000898  2.1117344
 -2.2672293   0.01120823  1.1874198   0.80078775 -1.4645133   0.528853
 -0.17388165  0.7265675   0.20430867 -1.5650636   0.5428777  -0.47225875
 -2.4109135  -2.0334806   0.8124747  -2.799863    2.7713447  -0.8395045
 -0.5938412   0.04355126  0.31881607 -1.4636127   0.40520406 -0.55191743
 -1.3070093   0.66747993  0.25757843  0.15831941  1.07462     2.0824385 ]"
19,0,0,2,1,1,"[ 0.5252074   0.16700074  1.3618586  -1.224251    0.37196353  1.0833523
 -0.6991895  -0.37579095 -0.2205886   0.16460414 -0.74625945 -0.69931406
  0.8976335  -0.39989614 -2.121069   -0.8754051  -0.3158933  -0.40553042
  0.22871122 -0.06162465 -0.5392734   0.10625816  0.38892627  0.2610882
  0.60904616 -0.798975   -0.7134583   1.021494   -0.06702156 -0.16201922
  0.82931554  0.5796287   0.36517975 -3.4713306   2.2670617  -0.8893657
 -0.5190785  -0.18139505  1.0676668  -0.9775812   0.12274735 -0.3833991
 -0.58524656  0.890439   -0.07303701  0.3964852   1.6111532   2.1048632 ]"
