,test_id,kcid,lmc_prior_code,lengthscale_prior_code,input,lengthscales
38,0,0,2,1,3,"[0.5705, 5.8275, 4.0522]"
39,0,0,2,1,3,"[0.502, 4.2586, 2.9673]"
40,0,1,2,1,0,"[1.0598, 1.0393, 0.7031]"
41,0,1,2,1,0,"[1.8871, 1.4372, 0.4798]"
42,0,1,2,1,0,"[2.2853, 1.1739, 1.3431]"
43,0,1,2,1,0,"[1.4205, 1.8959, 4.4934]"
44,0,1,2,1,0,"[2.9651, 0.8273, 6.2661]"
45,0,1,2,1,0,"[1.3858, 0.7163, 7.0363]"
46,0,1,2,1,0,"[3.3379, 1.293, 3.0832]"
47,0,1,2,1,0,"[3.6684, 0.9601, 5.2558]"
48,0,1,2,1,0,"[4.8208, 1.231, 2.3547]"
49,0,1,2,1,0,"[2.3759, 1.4526, 2.3505]"
50,0,1,2,1,1,"[3.1631, 0.5519, 1.8527]"
51,0,1,2,1,1,"[2.9566, 0.3751, 3.5998]"
52,0,1,2,1,1,"[4.8826, 0.3365, 4.0534]"
53,0,1,2,1,1,"[3.0213, 0.3249, 4.1362]"
54,0,1,2,1,1,"[3.3813, 0.4029, 2.0242]"
55,0,1,2,1,1,"[3.5705, 2.0714, 0.6404]"
56,0,1,2,1,1,"[4.2944, 0.3041, 0.7488]"
57,0,1,2,1,1,"[5.3424, 0.3073, 2.1643]"
58,0,1,2,1,1,"[2.8685, 0.4993, 1.0194]"
59,0,1,2,1,1,"[2.2421, 1.4794, 1.0371]"
60,0,1,2,1,2,"[1.495, 0.6691, 1.5471]"
61,0,1,2,1,2,"[1.5263, 0.5952, 2.4307]"
62,0,1,2,1,2,"[1.1324, 0.798, 3.9336]"
63,0,1,2,1,2,"[2.8887, 1.4092, 3.607]"
64,0,1,2,1,2,"[3.8838, 1.0453, 0.9914]"
65,0,1,2,1,2,"[4.4568, 1.0888, 1.8246]"
66,0,1,2,1,2,"[4.7035, 2.7805, 1.5488]"
67,0,1,2,1,2,"[0.6082, 4.496, 2.0905]"
68,0,1,2,1,2,"[2.9958, 4.1347, 0.7361]"
69,0,1,2,1,2,"[4.0213, 4.6596, 1.2309]"
70,0,1,2,1,3,"[1.4495, 0.6147, 3.0237]"
71,0,1,2,1,3,"[2.4085, 3.5403, 1.1521]"
72,0,1,2,1,3,"[1.5201, 3.1393, 1.2623]"
73,0,1,2,1,3,"[2.9368, 3.8122, 1.3286]"
74,0,1,2,1,3,"[3.2799, 2.5657, 4.5312]"
75,0,1,2,1,3,"[5.275, 4.1984, 1.0373]"
76,0,1,2,1,3,"[1.4773, 5.3984, 2.5177]"
77,0,1,2,1,3,"[0.5574, 5.7415, 3.1908]"
78,0,1,2,1,3,"[0.5735, 3.4741, 5.6721]"
79,0,1,2,1,3,"[0.6546, 4.5438, 5.6334]"
80,0,2,2,1,0,"[2.6957, 3.1215, 0.8568]"
81,0,2,2,1,0,"[4.8023, 3.3034, 3.553]"
82,0,2,2,1,0,"[6.2227, 2.3785, 2.7034]"
83,0,2,2,1,0,"[6.5884, 0.8183, 4.2697]"
84,0,2,2,1,0,"[6.3525, 0.9588, 4.3382]"
85,0,2,2,1,0,"[7.0573, 0.6157, 4.1793]"
86,0,2,2,1,0,"[3.1765, 2.4808, 1.9577]"
87,0,2,2,1,0,"[1.6341, 3.3798, 1.652]"
88,0,2,2,1,0,"[2.1893, 2.7366, 2.9186]"
