,test_id,kcid,lmc_prior_code,lengthscale_prior_code,time_to_converge,iterations_to_converge
56,1.0,1.0,0.0,1.0,58.806215,845.0
57,1.0,1.0,0.0,1.0,47.491532,680.0
58,1.0,1.0,0.0,1.0,53.774722,765.0
59,1.0,1.0,0.0,1.0,55.918332,798.0
60,2.0,1.0,0.0,1.0,157.594266,2299.0
61,2.0,1.0,0.0,1.0,142.840844,2046.0
62,2.0,1.0,0.0,1.0,136.71052,1986.0
63,2.0,1.0,0.0,1.0,141.641129,2014.0
64,2.0,1.0,0.0,1.0,137.697164,2015.0
65,2.0,1.0,0.0,1.0,153.506143,2295.0
66,2.0,1.0,0.0,1.0,123.614767,1895.0
67,2.0,1.0,0.0,1.0,140.831112,2072.0
68,2.0,1.0,0.0,1.0,141.752952,2044.0
69,2.0,1.0,0.0,1.0,131.835657,1896.0
70,3.0,1.0,2.0,1.0,25.106876,700.0
71,3.0,1.0,2.0,1.0,21.87542,603.0
72,3.0,1.0,2.0,1.0,28.758164,797.0
73,3.0,1.0,2.0,1.0,26.362313,729.0
74,3.0,1.0,2.0,1.0,24.996209,700.0
75,3.0,1.0,2.0,1.0,22.307173,627.0
76,3.0,1.0,2.0,1.0,24.799142,700.0
77,3.0,1.0,2.0,1.0,24.528261,687.0
78,3.0,1.0,2.0,1.0,25.537504,729.0
79,3.0,1.0,2.0,1.0,31.959448,907.0
80,0.0,2.0,2.0,1.0,21.782557,293.0
81,0.0,2.0,2.0,1.0,50.475327,703.0
82,0.0,2.0,2.0,1.0,67.154648,931.0
83,0.0,2.0,2.0,1.0,57.536083,805.0
84,0.0,2.0,2.0,1.0,53.139934,741.0
85,0.0,2.0,2.0,1.0,36.078022,507.0
86,0.0,2.0,2.0,1.0,53.142678,708.0
87,0.0,2.0,2.0,1.0,52.543613,729.0
88,0.0,2.0,2.0,1.0,55.175924,765.0
89,0.0,2.0,2.0,1.0,50.566358,703.0
90,1.0,2.0,0.0,1.0,50.468512,708.0
91,1.0,2.0,0.0,1.0,54.666654,765.0
92,1.0,2.0,0.0,1.0,59.547597,836.0
93,1.0,2.0,0.0,1.0,59.795789,836.0
94,1.0,2.0,0.0,1.0,68.19127,948.0
95,1.0,2.0,0.0,1.0,57.895004,805.0
96,1.0,2.0,0.0,1.0,77.174911,1078.0
97,1.0,2.0,0.0,1.0,31.613771,441.0
98,1.0,2.0,0.0,1.0,32.816952,459.0
99,1.0,2.0,0.0,1.0,29.10615,409.0
100,2.0,2.0,0.0,1.0,170.70354,2460.0
101,2.0,2.0,0.0,1.0,141.138583,1992.0
102,2.0,2.0,0.0,1.0,143.048935,2112.0
103,2.0,2.0,0.0,1.0,193.706348,2731.0
104,2.0,2.0,0.0,1.0,150.947508,2106.0
105,2.0,2.0,0.0,1.0,127.542518,1715.0
106,2.0,2.0,0.0,1.0,146.475611,1964.0
107,2.0,2.0,0.0,1.0,147.233451,1925.0
108,2.0,2.0,0.0,1.0,124.004161,1704.0
109,2.0,2.0,0.0,1.0,153.008123,2058.0
110,3.0,2.0,2.0,1.0,22.615673,644.0
111,3.0,2.0,2.0,1.0,22.737637,660.0
112,3.0,2.0,2.0,1.0,31.881811,928.0
113,3.0,2.0,2.0,1.0,20.284779,596.0
114,3.0,2.0,2.0,1.0,22.673999,660.0
115,3.0,2.0,2.0,1.0,22.589283,660.0
116,3.0,2.0,2.0,1.0,20.650661,603.0
117,3.0,2.0,2.0,1.0,22.219047,657.0
118,3.0,2.0,2.0,1.0,28.582779,845.0
119,3.0,2.0,2.0,1.0,26.718476,785.0
120,0.0,3.0,2.0,1.0,50.9275,703.0
121,0.0,3.0,2.0,1.0,47.781733,659.0
122,0.0,3.0,2.0,1.0,47.911567,659.0
123,0.0,3.0,2.0,1.0,33.559604,459.0
124,0.0,3.0,2.0,1.0,58.65957,805.0
125,0.0,3.0,2.0,1.0,47.826898,659.0
