,test_id,kcid,lmc_prior_code,lengthscale_prior_code,kernel_structure,n_kernels,active_dims,additive,independent_outputs
330,1,8,0,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
331,1,8,0,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
332,1,8,0,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
333,1,8,0,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
334,1,8,0,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
335,1,8,0,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
336,1,8,0,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
337,1,8,0,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
338,1,8,0,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
339,1,8,0,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
