timestep,launcher_callsign,launcher_alive,launcher_id,launcher_x,launcher_y,launcher_z,launcher_psi,launcher_theta,launcher_phi,launcher_v,wpn_id,weapon_id,wpn_alive,wpn_x,wpn_y,wpn_z,wpn_psi,wpn_theta,wpn_phi,wpn_v,wpn_type,wpn_status,target_id,target_name,target_x,target_y,target_z,target_psi,target_theta,target_v,target_range,target_ata,target_aa,target_impact
02.10,viper,1,100,-29370.001,02.122,5000.000,359.704,00.000,-11.655,300.000,0,0,1,-29367.929,04.914,5000.000,359.847,00.000,-71.635,306.000,AAM_SARH,INFLIGHT,200,cobra,19400.000,04.071,5000.000,180.000,00.000,300.000,48798.529,00.243,179.999,0
02.10,cobra,1,200,19370.000,04.073,5000.000,179.997,00.000,-1.561,300.000,0,0,1,19370.018,03.027,5000.000,181.994,00.000,67.708,300.000,AAM_SARH,INFLIGHT,100,viper,-29400.001,02.277,5000.000,359.740,00.000,300.000,48800.001,-0.002,-179.738,0
02.20,viper,1,100,-29340.002,01.947,5000.000,359.666,00.000,-12.323,300.000,0,0,1,-29337.230,05.128,5000.000,00.400,00.000,98.961,307.000,AAM_SARH,INFLIGHT,200,cobra,19370.000,04.073,5000.000,179.997,00.000,300.000,48737.929,-0.152,-179.998,0
02.20,cobra,1,200,19340.000,04.077,5000.000,179.992,00.000,-2.330,300.000,0,0,1,19340.046,01.745,5000.000,182.451,00.000,71.093,300.000,AAM_SARH,INFLIGHT,100,viper,-29370.001,02.122,5000.000,359.704,00.000,300.000,48740.020,01.993,-179.703,0
02.30,viper,1,100,-29310.003,01.751,5000.000,359.625,00.000,-12.985,300.000,0,0,1,-29306.433,04.720,5000.000,359.240,00.000,-104.427,308.000,AAM_SARH,INFLIGHT,200,cobra,19340.000,04.077,5000.000,179.992,00.000,300.000,48677.230,00.402,-179.994,0
02.30,cobra,1,200,19310.000,04.085,5000.000,179.985,00.000,-3.092,300.000,0,0,1,19310.087,00.176,5000.000,182.998,00.000,70.416,300.000,AAM_SARH,INFLIGHT,100,viper,-29340.002,01.947,5000.000,359.666,00.000,300.000,48680.048,02.451,-179.666,0
02.40,viper,1,100,-29280.003,01.532,5000.000,359.581,00.000,-13.639,300.000,0,0,1,-29275.533,04.692,5000.000,359.949,00.000,105.520,309.000,AAM_SARH,INFLIGHT,200,cobra,19310.000,04.085,5000.000,179.985,00.000,300.000,48616.433,-0.760,-179.985,0
02.40,cobra,1,200,19280.000,04.098,5000.000,179.975,00.000,-3.845,300.000,0,0,1,19280.143,-1.669,5000.000,183.524,00.000,70.551,300.000,AAM_SARH,INFLIGHT,100,viper,-29310.003,01.751,5000.000,359.625,00.000,300.000,48620.089,03.000,-179.626,0
02.50,viper,1,100,-29250.004,01.289,5000.000,359.536,00.000,-14.288,300.000,0,0,1,-29244.535,05.019,5000.000,00.604,00.000,63.531,310.000,AAM_SARH,INFLIGHT,200,cobra,19280.000,04.098,5000.000,179.975,00.000,300.000,48555.533,-0.051,-179.975,0
02.50,cobra,1,200,19250.000,04.118,5000.000,179.962,00.000,-4.592,300.000,0,0,1,19250.218,-3.790,5000.000,184.055,00.000,70.524,300.000,AAM_SARH,INFLIGHT,100,viper,-29280.003,01.532,5000.000,359.581,00.000,300.000,48560.147,03.528,-179.585,0
02.60,viper,1,100,-29220.006,01.021,5000.000,359.488,00.000,-14.929,300.000,0,0,1,-29213.439,05.544,5000.000,00.968,00.000,71.928,311.000,AAM_SARH,INFLIGHT,200,cobra,19250.000,04.118,5000.000,179.962,00.000,300.000,48494.535,00.605,-179.963,0
02.60,cobra,1,200,19220.000,04.146,5000.000,179.947,00.000,-5.330,300.000,0,0,1,19220.314,-6.188,5000.000,184.584,00.000,70.530,300.000,AAM_SARH,INFLIGHT,100,viper,-29250.004,01.289,5000.000,359.536,00.000,300.000,48500.223,04.061,-179.542,0
02.70,viper,1,100,-29190.007,00.727,5000.000,359.438,00.000,-15.565,300.000,0,0,1,-29182.250,06.372,5000.000,01.521,00.000,70.249,312.000,AAM_SARH,INFLIGHT,200,cobra,19220.000,04.146,5000.000,179.947,00.000,300.000,48433.439,00.969,-179.949,0
02.70,cobra,1,200,19190.000,04.183,5000.000,179.929,00.000,-6.062,300.000,0,0,1,19190.434,-8.862,5000.000,185.114,00.000,70.529,300.000,AAM_SARH,INFLIGHT,100,viper,-29220.006,01.021,5000.000,359.488,00.000,300.000,48440.321,04.593,-179.497,0
02.80,viper,1,100,-29160.009,00.405,5000.000,359.386,00.000,-16.194,300.000,0,0,1,-29150.969,07.477,5000.000,02.023,00.000,70.585,313.000,AAM_SARH,INFLIGHT,200,cobra,19190.000,04.183,5000.000,179.929,00.000,300.000,48372.250,01.524,-179.932,0
02.80,cobra,1,200,19160.000,04.230,5000.000,179.910,00.000,-6.786,300.000,0,0,1,19160.579,-11.812,5000.000,185.644,00.000,70.529,300.000,AAM_SARH,INFLIGHT,100,viper,-29190.007,00.727,5000.000,359.438,00.000,300.000,48380.442,05.125,-179.450,0
02.90,viper,1,100,-29130.011,00.055,5000.000,359.332,00.000,-16.816,300.000,0,0,1,-29119.588,08.569,5000.000,01.993,00.000,-14.117,314.000,AAM_SARH,INFLIGHT,200,cobra,19160.000,04.230,5000.000,179.910,00.000,300.000,48310.970,02.027,-179.913,0
02.90,cobra,1,200,19130.000,04.289,5000.000,179.887,00.000,-7.502,300.000,0,0,1,19130.753,-15.038,5000.000,186.174,00.000,70.529,300.000,AAM_SARH,INFLIGHT,100,viper,-29160.009,00.405,5000.000,359.386,00.000,300.000,48320.590,05.658,-179.401,0
03.00,viper,1,100,-29100.013,-0.324,5000.000,359.275,00.000,-17.433,300.000,0,0,1,-29088.108,09.689,5000.000,02.038,00.000,87.458,315.000,AAM_SARH,INFLIGHT,200,cobra,19130.000,04.289,5000.000,179.887,00.000,300.000,48249.589,01.998,-179.892,0
03.00,cobra,1,200,19100.000,04.361,5000.000,179.863,00.000,-8.212,300.000,0,0,1,19100.859,-18.552,5000.000,186.703,00.000,70.529,301.000,AAM_SARH,INFLIGHT,100,viper,-29130.011,00.055,5000.000,359.332,00.000,300.000,48260.766,06.191,-179.350,0
