,test_id,kcid,lmc_prior_code,lengthscale_prior_code,test_data,elpd_waic,p_waic,se,warning,n_data_points,n_samples,scale,elpd_waic_y0,elpd_waic_y1,elpd_waic_y2,elpd_waic_y3,elpd_waic_y4
20,0,0,2,1,0,13070.725701326497,14.276048473305508,338.26212776530264,False,2945,300,log,-353.23888,6741.4812,6743.95974,-27.83744,-33.63892
21,0,0,2,1,0,13070.314419710001,14.511338226962867,337.9131692604203,True,2945,300,log,-351.06195,6737.4801,6739.73978,-29.38073,-26.46277
22,0,0,2,1,0,13040.496511279702,14.726073830601877,337.5631867294975,False,2945,300,log,-353.78415,6729.50476,6731.61526,-32.93102,-33.90834
23,0,0,2,1,0,13032.014829155258,14.314027577917102,337.2392157850167,False,2945,300,log,-353.33261,6728.99989,6722.66977,-30.06903,-36.25318
24,0,0,2,1,0,13041.865322395583,11.832455252114435,337.97413722809443,False,2945,300,log,-355.32205,6731.9877,6737.32116,-37.15291,-34.96858
25,0,0,2,1,0,13047.796296994095,11.911191194411376,337.4791203670768,True,2945,300,log,-357.26704,6729.61979,6733.1792,-31.08359,-26.65206
26,0,0,2,1,0,13063.253139889612,11.998662979846333,337.6429780752873,True,2945,300,log,-352.15141,6733.42212,6734.67349,-27.40593,-25.28513
27,0,0,2,1,0,13065.884046284411,11.82733462541446,338.1565250954866,False,2945,300,log,-351.96533,6738.65204,6739.87351,-29.49798,-31.17819
28,0,0,2,1,0,13044.78703689433,11.651334857933838,337.5018613866637,False,2945,300,log,-345.3115,6732.24422,6729.37148,-30.2062,-41.31096
29,0,0,2,1,0,13099.48064172162,12.242985706668971,338.09822775371646,False,2945,300,log,-338.76742,6746.08213,6748.33651,-27.58925,-28.58132
