,test_id,kcid,lmc_prior_code,lengthscale_prior_code,time_to_converge,iterations_to_converge
0,3.0,3.0,2.0,1.0,28.734504,873.0
0,0.0,3.0,2.0,1.0,75.478648,974.0
0,3.0,3.0,2.0,1.0,26.466838,847.0
0,0.0,3.0,2.0,1.0,23.472751,304.0
0,3.0,3.0,2.0,1.0,23.067474,787.0
0,0.0,3.0,2.0,1.0,73.516174,987.0
0,3.0,3.0,2.0,1.0,24.337093,815.0
0,0.0,3.0,2.0,1.0,72.932618,974.0
0,3.0,3.0,2.0,1.0,17.57235,606.0
0,0.0,3.0,2.0,1.0,75.926309,987.0
0,3.0,3.0,2.0,1.0,24.077509,787.0
0,0.0,3.0,2.0,1.0,73.508091,977.0
0,3.0,3.0,2.0,1.0,24.952578,846.0
0,0.0,3.0,2.0,1.0,68.901308,915.0
0,3.0,3.0,2.0,1.0,23.220473,787.0
0,0.0,3.0,2.0,1.0,74.36229,987.0
0,3.0,3.0,2.0,1.0,23.487107,787.0
0,0.0,4.0,2.0,1.0,81.805669,974.0
0,3.0,4.0,2.0,1.0,28.2152,876.0
0,0.0,4.0,2.0,1.0,63.495559,751.0
0,3.0,4.0,2.0,1.0,21.572684,675.0
0,0.0,4.0,2.0,1.0,82.699772,977.0
0,3.0,4.0,2.0,1.0,25.86708,815.0
0,0.0,4.0,2.0,1.0,72.767952,872.0
0,3.0,4.0,2.0,1.0,28.394275,917.0
0,0.0,4.0,2.0,1.0,81.40223,987.0
0,3.0,4.0,2.0,1.0,25.509521,815.0
0,0.0,4.0,2.0,1.0,75.83105,913.0
0,3.0,4.0,2.0,1.0,28.079284,907.0
0,0.0,4.0,2.0,1.0,29.241787,352.0
0,3.0,4.0,2.0,1.0,27.973165,889.0
0,0.0,4.0,2.0,1.0,26.613718,316.0
0,3.0,4.0,2.0,1.0,25.660126,814.0
0,0.0,4.0,2.0,1.0,80.995047,974.0
0,3.0,4.0,2.0,1.0,19.059394,601.0
0,0.0,4.0,2.0,1.0,81.835954,987.0
0,3.0,4.0,2.0,1.0,21.197955,675.0
