,test_id,kcid,lmc_prior_code,lengthscale_prior_code,kernel_structure,n_kernels,active_dims,additive,independent_outputs
0,0,3,2,1,"['SE_1^(0) + M32_1^(0) + SE_2^(0) + M32_2^(0) + SE_3^(0) + M32_3^(0)', 'SE_4^(1) + M32_4^(1) + SE_5^(1) + M32_5^(1) + SE_6^(1) + M32_6^(1)', 'SE_7^(2) + M32_7^(2) + SE_8^(2) + M32_8^(2) + SE_9^(2) + M32_9^(2)', 'SE_10^(3) + M32_10^(3) + SE_11^(3) + M32_11^(3) + SE_12^(3) + M32_12^(3)']",6,,True,False
0,3,3,2,1,['SE_1^(0) + M32_1^(0) + SE_2^(0) + M32_2^(0) + SE_3^(0) + M32_3^(0)'],6,,False,False
0,0,3,2,1,"['SE_1^(0) + M32_1^(0) + SE_2^(0) + M32_2^(0) + SE_3^(0) + M32_3^(0)', 'SE_4^(1) + M32_4^(1) + SE_5^(1) + M32_5^(1) + SE_6^(1) + M32_6^(1)', 'SE_7^(2) + M32_7^(2) + SE_8^(2) + M32_8^(2) + SE_9^(2) + M32_9^(2)', 'SE_10^(3) + M32_10^(3) + SE_11^(3) + M32_11^(3) + SE_12^(3) + M32_12^(3)']",6,,True,False
0,3,3,2,1,['SE_1^(0) + M32_1^(0) + SE_2^(0) + M32_2^(0) + SE_3^(0) + M32_3^(0)'],6,,False,False
0,0,3,2,1,"['SE_1^(0) + M32_1^(0) + SE_2^(0) + M32_2^(0) + SE_3^(0) + M32_3^(0)', 'SE_4^(1) + M32_4^(1) + SE_5^(1) + M32_5^(1) + SE_6^(1) + M32_6^(1)', 'SE_7^(2) + M32_7^(2) + SE_8^(2) + M32_8^(2) + SE_9^(2) + M32_9^(2)', 'SE_10^(3) + M32_10^(3) + SE_11^(3) + M32_11^(3) + SE_12^(3) + M32_12^(3)']",6,,True,False
0,3,3,2,1,['SE_1^(0) + M32_1^(0) + SE_2^(0) + M32_2^(0) + SE_3^(0) + M32_3^(0)'],6,,False,False
0,0,3,2,1,"['SE_1^(0) + M32_1^(0) + SE_2^(0) + M32_2^(0) + SE_3^(0) + M32_3^(0)', 'SE_4^(1) + M32_4^(1) + SE_5^(1) + M32_5^(1) + SE_6^(1) + M32_6^(1)', 'SE_7^(2) + M32_7^(2) + SE_8^(2) + M32_8^(2) + SE_9^(2) + M32_9^(2)', 'SE_10^(3) + M32_10^(3) + SE_11^(3) + M32_11^(3) + SE_12^(3) + M32_12^(3)']",6,,True,False
0,3,3,2,1,['SE_1^(0) + M32_1^(0) + SE_2^(0) + M32_2^(0) + SE_3^(0) + M32_3^(0)'],6,,False,False
0,0,3,2,1,"['SE_1^(0) + M32_1^(0) + SE_2^(0) + M32_2^(0) + SE_3^(0) + M32_3^(0)', 'SE_4^(1) + M32_4^(1) + SE_5^(1) + M32_5^(1) + SE_6^(1) + M32_6^(1)', 'SE_7^(2) + M32_7^(2) + SE_8^(2) + M32_8^(2) + SE_9^(2) + M32_9^(2)', 'SE_10^(3) + M32_10^(3) + SE_11^(3) + M32_11^(3) + SE_12^(3) + M32_12^(3)']",6,,True,False
0,3,3,2,1,['SE_1^(0) + M32_1^(0) + SE_2^(0) + M32_2^(0) + SE_3^(0) + M32_3^(0)'],6,,False,False
