,test_id,kcid,lmc_prior_code,lengthscale_prior_code,lengthscales
0,0,0,2,1,"[1.9793, 0.7115, 1.2929, 0.5238, 1.2574, 0.2835, 1.2949, 1.5273, 0.079, 1.2929, 0.3251, 0.3979, 1.4934, 2.9802, 2.0854, 0.3641, 0.0624, 0.8343, 1.9666, 1.2929, 1.8835, 2.8704, 0.7692, 0.1562]"
0,3,0,2,1,"[0.4483, 0.8804, 0.5529, 1.509, 0.7472, 0.958, 4.5711, 0.1276, 0.4346, 0.5425, 0.8641, 0.5502, 2.1034, 0.2802, 0.5945, 0.6138, 0.5826, 0.5485, 1.1914, 0.8534, 0.4437, 0.2652, 0.8507, 1.2459]"
0,0,0,2,1,"[2.4272, 2.6562, 1.8441, 0.3549, 1.4328, 1.588, 0.7216, 2.1883, 0.0564, 2.872, 0.3048, 0.7437, 3.0091, 1.5182, 1.2929, 0.4698, 0.0974, 0.7738, 2.3824, 0.8044, 2.6279, 1.2186, 0.7645, 0.0665]"
0,3,0,2,1,"[0.4751, 0.8319, 0.859, 0.4705, 0.6663, 2.3015, 5.6244, 0.118, 0.443, 0.3464, 1.1883, 0.4681, 1.0415, 0.2349, 0.63, 0.9055, 0.7784, 0.5176, 1.1852, 1.0575, 0.5803, 0.4847, 0.7931, 1.0707]"
0,0,0,2,1,"[0.8454, 1.2973, 1.8181, 1.6898, 0.2562, 2.0538, 0.3988, 2.8226, 0.0403, 3.1307, 0.4215, 1.4289, 1.5211, 0.8987, 1.5289, 1.3676, 0.9582, 0.4206, 0.454, 0.4068, 0.3184, 1.7238, 2.4129, 1.1197]"
0,3,0,2,1,"[0.3676, 0.5449, 0.7241, 0.3751, 0.6575, 2.7561, 6.0433, 0.152, 0.3222, 0.4956, 1.2712, 0.5529, 1.2233, 0.2127, 1.3529, 0.7129, 1.4778, 1.3051, 2.6961, 2.4248, 0.8915, 0.4734, 0.5222, 0.7813]"
0,0,1,2,1,"[0.2015, 1.2929, 0.387, 0.6473, 1.2929, 0.0875, 0.3355, 0.3628, 1.7455, 0.323, 0.5836, 0.201, 0.2326, 0.1017, 1.2278, 0.1323, 2.0083, 1.0922, 1.0483, 0.3396, 0.8213, 1.315, 0.6125, 0.1828]"
0,3,1,2,1,"[0.4597, 1.1308, 0.6025, 0.2941, 3.1778, 1.379, 3.3509, 2.8168, 0.3998, 0.5877, 0.8443, 0.3026, 2.7926, 1.2463, 2.3206, 3.0007, 0.5077, 0.511, 1.0993, 2.1032, 3.2205, 2.8746, 3.8411, 3.1454]"
0,0,1,2,1,"[1.2929, 1.0896, 0.2966, 0.3166, 1.2929, 0.4878, 1.2527, 0.5598, 1.2929, 3.105, 2.4315, 0.2804, 2.0794, 1.2337, 1.7699, 0.3506, 2.2575, 1.5193, 0.6789, 0.1702, 2.2211, 3.1601, 1.7663, 0.71]"
0,3,1,2,1,"[2.0906, 2.9637, 1.7891, 1.2099, 4.6755, 1.9471, 6.3399, 3.6899, 0.3607, 3.047, 2.6814, 0.1204, 2.9641, 3.7439, 4.9086, 2.8735, 0.3867, 0.3879, 0.6998, 1.8963, 3.5846, 2.2527, 4.7918, 3.336]"
0,0,1,2,1,"[1.307, 0.8943, 1.2932, 0.0969, 1.4679, 2.8962, 0.2253, 0.8448, 1.2929, 4.3042, 1.2929, 0.7326, 1.558, 0.9596, 3.1737, 0.236, 2.0164, 0.6157, 0.5378, 0.7587, 1.1618, 1.3988, 1.6978, 1.6362]"
0,3,1,2,1,"[0.7206, 1.3183, 1.3041, 0.5723, 5.9861, 1.6726, 8.3255, 7.3347, 0.3995, 1.1504, 5.2432, 0.1437, 3.2956, 1.9216, 4.1199, 5.5048, 0.461, 0.3888, 0.6996, 0.555, 7.6184, 4.3901, 6.5841, 5.9367]"
0,0,1,2,1,"[2.043, 0.7934, 1.0546, 1.022, 1.6083, 2.8338, 0.3952, 1.0065, 1.7726, 1.5577, 2.8561, 2.0951, 1.9845, 1.1455, 1.8187, 0.198, 0.7614, 0.4485, 0.1998, 2.7689, 2.8742, 0.6347, 1.2929, 0.4459]"
0,3,1,2,1,"[0.3828, 1.433, 0.6606, 0.2789, 5.2791, 2.3657, 4.9974, 2.7325, 1.1394, 0.8805, 3.1171, 0.1443, 2.9296, 1.3013, 4.2761, 5.7681, 0.4382, 0.3992, 0.8025, 0.5839, 11.4881, 7.4297, 11.1259, 6.9404]"
0,0,1,2,1,"[1.3225, 2.3031, 0.2409, 0.7929, 1.3634, 3.3832, 2.7987, 0.6065, 0.2911, 0.8263, 1.2929, 0.4038, 3.2563, 1.2606, 2.5123, 0.2054, 1.2929, 0.361, 0.282, 3.474, 2.1158, 1.0914, 2.1841, 1.0359]"
0,3,1,2,1,"[0.3112, 1.1644, 1.2764, 0.4255, 4.5487, 3.8405, 8.9694, 1.4086, 0.846, 0.571, 1.9796, 0.1897, 3.6183, 2.5478, 6.2044, 5.7932, 1.216, 0.612, 0.6468, 1.3407, 10.7594, 3.1901, 8.3171, 9.3342]"
