,test_id,kcid,lmc_prior_code,lengthscale_prior_code,subset,y1,y2
0,3.0,0.0,0.0,1.0,0.1,4.235404968261719,4.247821807861328
0,3.0,0.0,0.0,1.0,0.3,4.578034400939941,4.572801113128662
0,0.0,0.0,2.0,1.0,0.1,6.404045104980469,6.4145097732543945
0,0.0,0.0,2.0,1.0,0.3,6.368843078613281,6.373269081115723
0,1.0,0.0,0.0,1.0,0.1,6.300116062164307,6.309744834899902
0,1.0,0.0,0.0,1.0,0.3,6.352941989898682,6.357308864593506
0,2.0,0.0,0.0,1.0,0.1,6.481266498565674,6.508498668670654
0,2.0,0.0,0.0,1.0,0.3,6.409759998321533,6.487051963806152
0,3.0,0.0,0.0,1.0,0.1,4.380024433135986,4.37058162689209
0,3.0,0.0,0.0,1.0,0.3,4.59724760055542,4.612636566162109
0,0.0,0.0,2.0,1.0,0.1,6.3687567710876465,6.382730007171631
0,0.0,0.0,2.0,1.0,0.3,6.377808570861816,6.3775787353515625
0,1.0,0.0,0.0,1.0,0.1,6.339422225952148,6.33504581451416
0,1.0,0.0,0.0,1.0,0.3,6.385790824890137,6.379446983337402
0,2.0,0.0,0.0,1.0,0.1,6.497603893280029,6.511923313140869
0,2.0,0.0,0.0,1.0,0.3,6.411223411560059,6.504069805145264
0,3.0,0.0,0.0,1.0,0.1,4.381983757019043,4.394922256469727
0,3.0,0.0,0.0,1.0,0.3,4.620548725128174,4.6257734298706055
0,0.0,0.0,2.0,1.0,0.1,6.355706214904785,6.375243186950684
0,0.0,0.0,2.0,1.0,0.3,6.378264427185059,6.376355171203613
0,1.0,0.0,0.0,1.0,0.1,6.282049655914307,6.290693759918213
0,1.0,0.0,0.0,1.0,0.3,6.3804402351379395,6.391534805297852
0,2.0,0.0,0.0,1.0,0.1,6.538716793060303,6.536537170410156
0,2.0,0.0,0.0,1.0,0.3,6.505520343780518,6.4928693771362305
0,3.0,0.0,0.0,1.0,0.1,4.1765360832214355,4.227271556854248
0,3.0,0.0,0.0,1.0,0.3,4.32172966003418,4.32544469833374
0,0.0,0.0,2.0,1.0,0.1,6.3641767501831055,6.366830348968506
0,0.0,0.0,2.0,1.0,0.3,6.3682708740234375,6.3666605949401855
0,1.0,0.0,0.0,1.0,0.1,6.23396110534668,6.237453460693359
0,1.0,0.0,0.0,1.0,0.3,6.366843223571777,6.368268013000488
0,2.0,0.0,0.0,1.0,0.1,6.490175724029541,6.514030933380127
0,2.0,0.0,0.0,1.0,0.3,6.446745872497559,6.4768571853637695
0,3.0,0.0,0.0,1.0,0.1,4.347522258758545,4.344879150390625
0,3.0,0.0,0.0,1.0,0.3,4.524301052093506,4.529290676116943
0,0.0,0.0,2.0,1.0,0.1,6.466030120849609,6.393909454345703
0,0.0,0.0,2.0,1.0,0.3,6.378696918487549,6.367230415344238
0,1.0,0.0,0.0,1.0,0.1,6.1798014640808105,6.1902265548706055
0,1.0,0.0,0.0,1.0,0.3,6.342100143432617,6.344429016113281
0,2.0,0.0,0.0,1.0,0.1,6.4488348960876465,6.5200886726379395
0,2.0,0.0,0.0,1.0,0.3,6.58759880065918,6.496146202087402
0,3.0,0.0,0.0,1.0,0.1,4.234007358551025,4.219531536102295
0,3.0,0.0,0.0,1.0,0.3,4.543802738189697,4.551753520965576
0,0.0,0.0,2.0,1.0,0.1,6.2334303855896,6.242534160614014
0,0.0,0.0,2.0,1.0,0.3,6.372424125671387,6.379804611206055
0,1.0,0.0,0.0,1.0,0.1,6.391335487365723,6.387783527374268
0,1.0,0.0,0.0,1.0,0.3,6.372076511383057,6.39144229888916
0,2.0,0.0,0.0,1.0,0.1,6.485310077667236,6.535926342010498
0,2.0,0.0,0.0,1.0,0.3,6.45765495300293,6.498147010803223
0,3.0,0.0,0.0,1.0,0.1,4.3439040184021,4.3617939949035645
0,3.0,0.0,0.0,1.0,0.3,4.412970066070557,4.414967060089111
