,test_id,kcid,lmc_prior_code,lengthscale_prior_code,subset,lengthscales
0,1,0,0,1,0.1,"[0.2896, 2.1872, 2.2759, 0.9154, 0.6273, 0.5383, 0.8927, 0.042, 3.0616, 0.1804, 2.5884, 0.2575, 2.5451, 0.3675, 1.2924, 0.1427, 0.0505, 0.8037, 1.8977, 0.4905, 2.382, 2.4121, 0.2268, 0.891]"
0,1,0,0,1,0.3,"[2.6528, 1.4106, 1.544, 2.9596, 0.5328, 0.601, 0.4535, 0.2286, 3.0522, 1.015, 3.488, 0.2513, 2.8917, 0.3251, 2.7205, 0.7931, 0.0375, 1.3091, 1.5522, 0.4731, 3.1569, 1.7656, 0.2451, 0.6028]"
0,2,0,0,1,0.1,"[0.879, 0.7495, 1.2413, 1.4383, 0.7663, 1.1807, 1.4092, 0.9214, 1.0616, 1.0979, 1.5562, 0.7569, 1.4801, 1.2527, 1.0166, 0.1875, 0.879, 0.7495, 1.2413, 1.4383, 0.7663, 1.1807, 1.4092, 0.9214, 1.0616, 1.0979, 1.5562, 0.7569, 1.4801, 1.2527, 1.0166, 0.1875, 0.879, 0.7495, 1.2413, 1.4383, 0.7663, 1.1807, 1.4092, 0.9214, 1.0616, 1.0979, 1.5562, 0.7569, 1.4801, 1.2527, 1.0166, 0.1875, 0.879, 0.7495, 1.2413, 1.4383, 0.7663, 1.1807, 1.4092, 0.9214, 1.0616, 1.0979, 1.5562, 0.7569, 1.4801, 1.2527, 1.0166, 0.1875, 0.879, 0.7495, 1.2413, 1.4383, 0.7663, 1.1807, 1.4092, 0.9214, 1.0616, 1.0979, 1.5562, 0.7569, 1.4801, 1.2527, 1.0166, 0.1875, 0.879, 0.7495, 1.2413, 1.4383, 0.7663, 1.1807, 1.4092, 0.9214, 1.0616, 1.0979, 1.5562, 0.7569, 1.4801, 1.2527, 1.0166, 0.1875, 1.7273, 1.4237, 1.4371, 1.2348, 1.7243, 1.399, 0.3058, 1.7297, 1.81, 1.5738, 1.459, 1.243, 0.5475, 1.2735, 1.5694, 1.5237, 1.3262, 1.5659, 0.4914, 1.8517, 1.7273, 1.4237, 1.4371, 1.2348, 1.7243, 1.399, 0.3058, 1.7297, 1.81, 1.5738, 1.459, 1.243, 0.5475, 1.2735, 1.5694, 1.5237, 1.3262, 1.5659, 0.4914, 1.8517, 1.7273, 1.4237, 1.4371, 1.2348, 1.7243, 1.399, 0.3058, 1.7297, 1.81, 1.5738, 1.459, 1.243, 0.5475, 1.2735, 1.5694, 1.5237, 1.3262, 1.5659, 0.4914, 1.8517, 1.7273, 1.4237, 1.4371, 1.2348, 1.7243, 1.399, 0.3058, 1.7297, 1.81, 1.5738, 1.459, 1.243, 0.5475, 1.2735, 1.5694, 1.5237, 1.3262, 1.5659, 0.4914, 1.8517, 1.7273, 1.4237, 1.4371, 1.2348, 1.7243, 1.399, 0.3058, 1.7297, 1.81, 1.5738, 1.459, 1.243, 0.5475, 1.2735, 1.5694, 1.5237, 1.3262, 1.5659, 0.4914, 1.8517, 1.7273, 1.4237, 1.4371, 1.2348, 1.7243, 1.399, 0.3058, 1.7297, 1.81, 1.5738, 1.459, 1.243, 0.5475, 1.2735, 1.5694, 1.5237, 1.3262, 1.5659, 0.4914, 1.8517, 1.7273, 1.4237, 1.4371, 1.2348, 1.7243, 1.399, 0.3058, 1.7297, 1.81, 1.5738, 1.459, 1.243, 0.5475, 1.2735, 1.5694, 1.5237, 1.3262, 1.5659, 0.4914, 1.8517, 1.7273, 1.4237, 1.4371, 1.2348, 1.7243, 1.399, 0.3058, 1.7297, 1.81, 1.5738, 1.459, 1.243, 0.5475, 1.2735, 1.5694, 1.5237, 1.3262, 1.5659, 0.4914, 1.8517, 1.7273, 1.4237, 1.4371, 1.2348, 1.7243, 1.399, 0.3058, 1.7297, 1.81, 1.5738, 1.459, 1.243, 0.5475, 1.2735, 1.5694, 1.5237, 1.3262, 1.5659, 0.4914, 1.8517, 1.7273, 1.4237, 1.4371, 1.2348, 1.7243, 1.399, 0.3058, 1.7297, 1.81, 1.5738, 1.459, 1.243, 0.5475, 1.2735, 1.5694, 1.5237, 1.3262, 1.5659, 0.4914, 1.8517, 1.7273, 1.4237, 1.4371, 1.2348, 1.7243, 1.399, 0.3058, 1.7297, 1.81, 1.5738, 1.459, 1.243, 0.5475, 1.2735, 1.5694, 1.5237, 1.3262, 1.5659, 0.4914, 1.8517, 1.7273, 1.4237, 1.4371, 1.2348, 1.7243, 1.399, 0.3058, 1.7297, 1.81, 1.5738, 1.459, 1.243, 0.5475, 1.2735, 1.5694, 1.5237, 1.3262, 1.5659, 0.4914, 1.8517, 0.3778, 1.096, 0.3461, 0.952, 0.3778, 1.096, 0.3461, 0.952, 0.3778, 1.096, 0.3461, 0.952, 0.3778, 1.096, 0.3461, 0.952, 0.3778, 1.096, 0.3461, 0.952, 0.3778, 1.096, 0.3461, 0.952, 0.3778, 1.096, 0.3461, 0.952, 0.3778, 1.096, 0.3461, 0.952, 0.3778, 1.096, 0.3461, 0.952, 0.3778, 1.096, 0.3461, 0.952, 0.3778, 1.096, 0.3461, 0.952, 0.3778, 1.096, 0.3461, 0.952]"
0,2,0,0,1,0.3,"[1.2449, 0.6116, 1.3175, 1.5913, 0.463, 0.8674, 0.4536, 1.5258, 1.4143, 0.8919, 1.5954, 0.459, 0.4048, 1.2456, 1.2295, 0.2518, 1.2449, 0.6116, 1.3175, 1.5913, 0.463, 0.8674, 0.4536, 1.5258, 1.4143, 0.8919, 1.5954, 0.459, 0.4048, 1.2456, 1.2295, 0.2518, 1.2449, 0.6116, 1.3175, 1.5913, 0.463, 0.8674, 0.4536, 1.5258, 1.4143, 0.8919, 1.5954, 0.459, 0.4048, 1.2456, 1.2295, 0.2518, 1.2449, 0.6116, 1.3175, 1.5913, 0.463, 0.8674, 0.4536, 1.5258, 1.4143, 0.8919, 1.5954, 0.459, 0.4048, 1.2456, 1.2295, 0.2518, 1.2449, 0.6116, 1.3175, 1.5913, 0.463, 0.8674, 0.4536, 1.5258, 1.4143, 0.8919, 1.5954, 0.459, 0.4048, 1.2456, 1.2295, 0.2518, 1.2449, 0.6116, 1.3175, 1.5913, 0.463, 0.8674, 0.4536, 1.5258, 1.4143, 0.8919, 1.5954, 0.459, 0.4048, 1.2456, 1.2295, 0.2518, 1.6149, 1.8983, 1.7383, 1.3873, 2.1168, 1.9188, 0.321, 1.8446, 1.4184, 2.0048, 1.5488, 1.6806, 0.7704, 1.393, 2.1297, 1.6856, 1.4287, 1.7872, 0.4845, 2.1624, 1.6149, 1.8983, 1.7383, 1.3873, 2.1168, 1.9188, 0.321, 1.8446, 1.4184, 2.0048, 1.5488, 1.6806, 0.7704, 1.393, 2.1297, 1.6856, 1.4287, 1.7872, 0.4845, 2.1624, 1.6149, 1.8983, 1.7383, 1.3873, 2.1168, 1.9188, 0.321, 1.8446, 1.4184, 2.0048, 1.5488, 1.6806, 0.7704, 1.393, 2.1297, 1.6856, 1.4287, 1.7872, 0.4845, 2.1624, 1.6149, 1.8983, 1.7383, 1.3873, 2.1168, 1.9188, 0.321, 1.8446, 1.4184, 2.0048, 1.5488, 1.6806, 0.7704, 1.393, 2.1297, 1.6856, 1.4287, 1.7872, 0.4845, 2.1624, 1.6149, 1.8983, 1.7383, 1.3873, 2.1168, 1.9188, 0.321, 1.8446, 1.4184, 2.0048, 1.5488, 1.6806, 0.7704, 1.393, 2.1297, 1.6856, 1.4287, 1.7872, 0.4845, 2.1624, 1.6149, 1.8983, 1.7383, 1.3873, 2.1168, 1.9188, 0.321, 1.8446, 1.4184, 2.0048, 1.5488, 1.6806, 0.7704, 1.393, 2.1297, 1.6856, 1.4287, 1.7872, 0.4845, 2.1624, 1.6149, 1.8983, 1.7383, 1.3873, 2.1168, 1.9188, 0.321, 1.8446, 1.4184, 2.0048, 1.5488, 1.6806, 0.7704, 1.393, 2.1297, 1.6856, 1.4287, 1.7872, 0.4845, 2.1624, 1.6149, 1.8983, 1.7383, 1.3873, 2.1168, 1.9188, 0.321, 1.8446, 1.4184, 2.0048, 1.5488, 1.6806, 0.7704, 1.393, 2.1297, 1.6856, 1.4287, 1.7872, 0.4845, 2.1624, 1.6149, 1.8983, 1.7383, 1.3873, 2.1168, 1.9188, 0.321, 1.8446, 1.4184, 2.0048, 1.5488, 1.6806, 0.7704, 1.393, 2.1297, 1.6856, 1.4287, 1.7872, 0.4845, 2.1624, 1.6149, 1.8983, 1.7383, 1.3873, 2.1168, 1.9188, 0.321, 1.8446, 1.4184, 2.0048, 1.5488, 1.6806, 0.7704, 1.393, 2.1297, 1.6856, 1.4287, 1.7872, 0.4845, 2.1624, 1.6149, 1.8983, 1.7383, 1.3873, 2.1168, 1.9188, 0.321, 1.8446, 1.4184, 2.0048, 1.5488, 1.6806, 0.7704, 1.393, 2.1297, 1.6856, 1.4287, 1.7872, 0.4845, 2.1624, 1.6149, 1.8983, 1.7383, 1.3873, 2.1168, 1.9188, 0.321, 1.8446, 1.4184, 2.0048, 1.5488, 1.6806, 0.7704, 1.393, 2.1297, 1.6856, 1.4287, 1.7872, 0.4845, 2.1624, 0.325, 0.6023, 0.3588, 0.7588, 0.325, 0.6023, 0.3588, 0.7588, 0.325, 0.6023, 0.3588, 0.7588, 0.325, 0.6023, 0.3588, 0.7588, 0.325, 0.6023, 0.3588, 0.7588, 0.325, 0.6023, 0.3588, 0.7588, 0.325, 0.6023, 0.3588, 0.7588, 0.325, 0.6023, 0.3588, 0.7588, 0.325, 0.6023, 0.3588, 0.7588, 0.325, 0.6023, 0.3588, 0.7588, 0.325, 0.6023, 0.3588, 0.7588, 0.325, 0.6023, 0.3588, 0.7588]"
0,3,0,0,1,0.1,"[0.7716, 2.1271, 1.0966, 1.5954, 1.132, 0.3582, 0.2733, 0.9856, 2.8672, 1.6623, 1.1114, 1.7733, 0.5452, 0.3278, 0.5287, 0.4693, 0.534, 1.4934, 1.1209, 0.4741, 0.5247, 0.6235, 1.2735, 0.2316]"
0,3,0,0,1,0.3,"[1.0869, 2.4728, 1.6336, 0.6079, 0.9576, 0.9035, 1.0641, 0.4637, 2.6688, 1.809, 1.2189, 3.8436, 0.7701, 0.253, 0.4712, 0.7544, 0.5457, 0.877, 0.781, 0.3203, 0.5482, 0.5436, 0.8319, 0.2933]"
0,0,0,2,1,0.1,"[0.7292, 1.3024, 2.3231, 1.8852, 0.131, 1.514, 0.171, 0.4371, 2.4897, 2.4374, 2.7076, 0.1766, 1.2929, 0.294, 1.2929, 1.2929, 0.0854, 1.2929, 3.2171, 0.1231, 1.2933, 1.2928, 0.1936, 1.2929]"
0,0,0,2,1,0.3,"[2.8839, 2.9012, 1.2722, 1.2929, 0.2532, 1.6975, 0.2194, 1.2898, 1.4546, 2.4209, 3.1557, 1.1541, 3.3257, 0.2545, 1.5248, 2.1438, 0.2045, 1.9354, 4.6263, 0.183, 2.5213, 0.8865, 0.209, 0.7968]"
0,1,0,0,1,0.1,"[2.2403, 2.6648, 0.8463, 3.1392, 0.1168, 2.3086, 0.1964, 1.3802, 0.3538, 1.3035, 1.2929, 1.2988, 1.7252, 0.3401, 2.2063, 2.442, 0.0502, 1.5539, 2.2105, 0.2312, 1.2929, 0.5264, 2.5134, 2.3255]"
0,1,0,0,1,0.3,"[2.547, 0.8689, 0.47, 2.9488, 1.2343, 0.7027, 0.1574, 0.9629, 0.9255, 3.0259, 2.6542, 1.2349, 0.8308, 1.3293, 3.3427, 2.2082, 0.3501, 1.0275, 2.4768, 0.4302, 2.6687, 0.2155, 3.4073, 2.0128]"
