,test_id,kcid,lmc_prior_code,lengthscale_prior_code,subset,test_data,elpd_waic,p_waic,se,warning,n_data_points,n_samples,scale,elpd_waic_y0,elpd_waic_y1,elpd_waic_y2,elpd_waic_y3,elpd_waic_y4
0,2,0,0,1,0.1,1,19105.10290984122,203.61042342461542,416.550258386846,True,4420,300,log,-736.10995,10065.22611,10022.3476,-148.27343,-98.08742
0,2,0,0,1,0.3,1,15159.678096745145,66.88532489674142,370.3527195792489,True,3430,300,log,-420.29964,7931.14558,7908.6903,-212.4119,-47.44625
0,3,0,0,1,0.1,1,-444404109.6075587,444403873.5155312,268195946.98149386,True,4420,300,log,-703.13008,-290281958.56103,-154121212.3939,-111.71186,-123.81069
0,3,0,0,1,0.3,1,-107535932.03147715,107552415.80292353,80950274.74691735,True,3430,300,log,-372.95773,-73598033.7591,-33937408.61367,-79.89099,-36.80999
0,0,0,2,1,0.1,1,18410.769386729495,222.54520417823062,409.9362100231806,True,4420,300,log,-754.71469,9699.28846,9774.14193,-137.35334,-170.59298
0,0,0,2,1,0.3,1,15367.341394080337,27.627089243578588,369.0537738579551,True,3430,300,log,-422.33238,7937.00348,7932.60498,-43.23634,-36.69835
0,1,0,0,1,0.1,1,17647.199969283105,436.9706231066375,409.24699091362925,True,4420,300,log,-1151.09489,9497.38506,9568.17318,-93.37226,-173.89113
0,1,0,0,1,0.3,1,15369.301153398701,36.97904583733584,368.4180738946871,False,3430,300,log,-415.50577,7926.1509,7928.83635,-35.70699,-34.47333
0,2,0,0,1,0.1,1,19104.194625207558,200.10258340605725,414.68024639906724,True,4420,300,log,-722.72836,10000.54034,10075.47506,-146.27796,-102.81445
0,2,0,0,1,0.3,1,15309.674636203234,46.637829229944586,367.9611648134006,False,3430,300,log,-419.58298,7933.46794,7912.22389,-69.73753,-46.69667
0,3,0,0,1,0.1,1,-10095211626.933212,10095010951.593807,3531047638.5935545,True,4420,300,log,-1167.16087,-4824373451.04446,-5270836535.64633,-324.08867,-148.99286
0,3,0,0,1,0.3,1,-1195146.5226322196,1211502.7569234157,793364.1110221593,True,3430,300,log,-321.2242,-616706.17608,-577984.99259,-73.59692,-60.53284
0,0,0,2,1,0.1,1,19052.016862193308,110.18712908279315,417.87398618019483,True,4420,300,log,-733.16893,10011.28439,10011.99019,-76.25231,-161.83647
0,0,0,2,1,0.3,1,15386.475671362772,31.114747877495695,368.61240698208405,False,3430,300,log,-413.07033,7926.87058,7942.49857,-33.68472,-36.13843
0,1,0,0,1,0.1,1,18589.471463097372,251.00164382346543,413.9533241504752,True,4420,300,log,-834.34493,9840.51051,9847.42911,-137.99449,-126.12873
0,1,0,0,1,0.3,1,15194.02230391702,47.61630049972232,365.3746383551308,True,3430,300,log,-424.84677,7884.84428,7824.7663,-49.9589,-40.78261
0,2,0,0,1,0.1,1,19091.5982632917,213.00960095745256,415.8001396093553,True,4420,300,log,-768.98926,10051.15386,10015.64096,-108.60356,-97.60374
0,2,0,0,1,0.3,1,15276.664208267073,48.47618330508315,366.5662865870033,True,3430,300,log,-412.20932,7883.56809,7915.22114,-64.52704,-45.38866
0,3,0,0,1,0.1,1,-106092748.14150465,106089702.24393892,36896247.808891736,True,4420,300,log,-1250.00291,-57564494.28572,-48526347.15917,-197.53105,-459.16265
0,3,0,0,1,0.3,1,247.29439186274408,16140.75203682156,3365.583031021306,True,3430,300,log,-363.15105,280.94091,457.38085,-89.53255,-38.34376
0,0,0,2,1,0.1,1,19188.502822281796,102.23636312589079,416.2879676697553,True,4420,300,log,-667.09444,10020.87796,10031.97496,-96.27173,-100.98393
0,0,0,2,1,0.3,1,15381.812043561373,26.61863087271218,368.8050174517916,True,3430,300,log,-406.84341,7935.13115,7933.71225,-35.75507,-44.43287
0,1,0,0,1,0.1,1,18066.1022279483,336.4410437754396,409.43542382414415,True,4420,300,log,-948.72579,9614.5104,9656.28981,-130.06088,-125.91131
0,1,0,0,1,0.3,1,15385.64842031568,38.11144159308053,368.29369553635223,False,3430,300,log,-398.40806,7930.73554,7926.7576,-39.10221,-34.33444
0,2,0,0,1,0.1,1,19183.128470123946,175.23531232728567,416.17955798225427,True,4420,300,log,-722.41269,10059.66648,10064.11231,-119.75614,-98.48149
0,2,0,0,1,0.3,1,15176.133602729959,92.47768965963164,369.2478954230636,True,3430,300,log,-415.59885,7918.74685,7908.45216,-190.88673,-44.57983
