,test_id,kcid,lmc_prior_code,lengthscale_prior_code,subset,test_data,elpd_waic,p_waic,se,warning,n_data_points,n_samples,scale,elpd_waic_y0,elpd_waic_y1,elpd_waic_y2,elpd_waic_y3,elpd_waic_y4
0,1,0,0,1,0.1,0,2213.6860867605274,9.051197312638571,140.1438985993162,False,485,300,log,-43.50674,1130.69138,1132.22259,-4.98621,-0.73493
0,1,0,0,1,0.3,0,6529.747782770585,13.693625382855963,238.6518258734753,False,1475,300,log,-173.84237,3364.73817,3358.87347,-11.94312,-8.07836
0,2,0,0,1,0.1,0,2128.9796432437033,15.966265057402369,136.13406646931506,True,485,300,log,-51.136,1094.50535,1100.66711,-12.50796,-2.54886
0,2,0,0,1,0.3,0,6449.1264974417045,23.21117698472067,237.7010317456957,True,1475,300,log,-179.41815,3342.73953,3343.54432,-46.98377,-10.75542
0,3,0,0,1,0.1,0,2583.62432703217,178.09732910939852,159.87714764269109,True,485,300,log,-19.7764,1298.23313,1309.33334,-3.29071,-0.87504
0,3,0,0,1,0.3,0,7570.952867946851,311.8237300093076,274.4785616339703,True,1475,300,log,-95.0658,3846.4872,3852.66323,-17.85325,-15.27851
0,0,0,2,1,0.1,0,2183.7190055496685,6.09500017034953,139.7484468055759,False,485,300,log,-53.21287,1122.60304,1123.62182,-7.90114,-1.39184
0,0,0,2,1,0.3,0,6541.473845830418,10.266827697514163,239.1981804218657,False,1475,300,log,-175.03781,3367.61421,3369.07078,-12.344,-7.82933
0,1,0,0,1,0.1,0,2239.9363594876177,9.46864616441508,139.73775309184953,False,485,300,log,-28.74076,1136.04511,1136.96466,-3.60433,-0.72832
0,1,0,0,1,0.3,0,6533.18456350477,13.357343008730599,239.09989112080177,False,1475,300,log,-174.36828,3364.55121,3366.17337,-15.05075,-8.12099
0,2,0,0,1,0.1,0,2137.508180050495,13.808645397006387,137.01224187657206,True,485,300,log,-51.03104,1101.97876,1102.64972,-13.39254,-2.69671
0,2,0,0,1,0.3,0,6415.094184502496,25.860737156292537,239.39082000405503,True,1475,300,log,-178.2411,3351.64777,3341.98139,-88.65968,-11.63421
0,3,0,0,1,0.1,0,2543.7216335003295,126.26964019681373,161.28559316847446,True,485,300,log,-25.0285,1288.62939,1287.78542,-5.18893,-2.47575
0,3,0,0,1,0.3,0,7496.827037333003,271.9384621979849,265.0401654019854,True,1475,300,log,-84.84734,3811.94913,3795.44199,-17.33647,-8.38028
