,test_id,kcid,lmc_prior_code,lengthscale_prior_code,kernel_structure,n_kernels,active_dims,additive,independent_outputs,subset
25,2,0,0,1,,3,,True,True,0.6
26,2,0,0,1,,3,,True,True,0.6
27,2,0,0,1,,3,,True,True,0.6
28,2,0,0,1,,3,,True,True,0.6
29,2,0,0,1,,3,,True,True,0.6
30,3,0,2,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],3,,False,False,0.6
31,3,0,2,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],3,,False,False,0.6
32,3,0,2,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],3,,False,False,0.6
33,3,0,2,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],3,,False,False,0.6
34,3,0,2,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],3,,False,False,0.6
35,3,0,2,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],3,,False,False,0.6
36,3,0,2,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],3,,False,False,0.6
37,3,0,2,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],3,,False,False,0.6
38,3,0,2,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],3,,False,False,0.6
39,3,0,2,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],3,,False,False,0.6
40,0,1,2,1,"['SE_1^(0) + SE_2^(0) + M52_1^(0) + SE_3^(0) + SE_4^(0) + M52_2^(0)', 'SE_5^(1) + SE_6^(1) + M52_3^(1) + SE_7^(1) + SE_8^(1) + M52_4^(1)', 'SE_9^(2) + SE_10^(2) + M52_5^(2) + SE_11^(2) + SE_12^(2) + M52_6^(2)', 'SE_13^(3) + SE_14^(3) + M52_7^(3) + SE_15^(3) + SE_16^(3) + M52_8^(3)']",3,,True,False,0.6
41,0,1,2,1,"['SE_1^(0) + SE_2^(0) + M52_1^(0) + SE_3^(0) + SE_4^(0) + M52_2^(0)', 'SE_5^(1) + SE_6^(1) + M52_3^(1) + SE_7^(1) + SE_8^(1) + M52_4^(1)', 'SE_9^(2) + SE_10^(2) + M52_5^(2) + SE_11^(2) + SE_12^(2) + M52_6^(2)', 'SE_13^(3) + SE_14^(3) + M52_7^(3) + SE_15^(3) + SE_16^(3) + M52_8^(3)']",3,,True,False,0.6
42,0,1,2,1,"['SE_1^(0) + SE_2^(0) + M52_1^(0) + SE_3^(0) + SE_4^(0) + M52_2^(0)', 'SE_5^(1) + SE_6^(1) + M52_3^(1) + SE_7^(1) + SE_8^(1) + M52_4^(1)', 'SE_9^(2) + SE_10^(2) + M52_5^(2) + SE_11^(2) + SE_12^(2) + M52_6^(2)', 'SE_13^(3) + SE_14^(3) + M52_7^(3) + SE_15^(3) + SE_16^(3) + M52_8^(3)']",3,,True,False,0.6
