,test_id,kcid,lmc_prior_code,lengthscale_prior_code,weight,y0,y3,y4,subset
132,0,1,2,1,unweighted,0.4665,0.9617,0.8828,0.6
133,0,1,2,1,linear,0.7317,0.9617,0.8828,0.6
134,0,1,2,1,quadratic,0.8471,0.9617,0.8828,0.6
135,0,1,2,1,unweighted,0.3887,0.9029,0.8282,0.6
136,0,1,2,1,linear,0.691,0.9029,0.8282,0.6
137,0,1,2,1,quadratic,0.8246,0.9029,0.8282,0.6
138,0,1,2,1,unweighted,0.4075,0.9132,0.8846,0.6
139,0,1,2,1,linear,0.7061,0.9132,0.8846,0.6
140,0,1,2,1,quadratic,0.8367,0.9132,0.8846,0.6
141,0,1,2,1,unweighted,0.4392,0.9143,0.8828,0.6
142,0,1,2,1,linear,0.7133,0.9143,0.8828,0.6
143,0,1,2,1,quadratic,0.8326,0.9143,0.8828,0.6
144,0,1,2,1,unweighted,0.4671,0.912,0.8943,0.6
145,0,1,2,1,linear,0.7336,0.912,0.8943,0.6
146,0,1,2,1,quadratic,0.8499,0.912,0.8943,0.6
147,0,1,2,1,unweighted,0.388,0.9223,0.8846,0.6
148,0,1,2,1,linear,0.6915,0.9223,0.8846,0.6
149,0,1,2,1,quadratic,0.8232,0.9223,0.8846,0.6
150,1,1,0,1,unweighted,0.3989,0.9029,0.9041,0.6
151,1,1,0,1,linear,0.7043,0.9029,0.9041,0.6
152,1,1,0,1,quadratic,0.8336,0.9029,0.9041,0.6
153,1,1,0,1,unweighted,0.397,0.9234,0.8846,0.6
154,1,1,0,1,linear,0.6952,0.9234,0.8846,0.6
155,1,1,0,1,quadratic,0.8249,0.9234,0.8846,0.6
156,1,1,0,1,unweighted,0.4145,0.8819,0.8593,0.6
157,1,1,0,1,linear,0.7105,0.8819,0.8593,0.6
158,1,1,0,1,quadratic,0.8385,0.8819,0.8593,0.6
159,1,1,0,1,unweighted,0.3832,0.8953,0.852,0.6
160,1,1,0,1,linear,0.69,0.8953,0.852,0.6
161,1,1,0,1,quadratic,0.8238,0.8953,0.852,0.6
162,1,1,0,1,unweighted,0.4032,0.9042,0.8828,0.6
163,1,1,0,1,linear,0.7032,0.9042,0.8828,0.6
164,1,1,0,1,quadratic,0.8326,0.9042,0.8828,0.6
165,1,1,0,1,unweighted,0.4269,0.9143,0.8197,0.6
166,1,1,0,1,linear,0.7021,0.9143,0.8197,0.6
167,1,1,0,1,quadratic,0.8252,0.9143,0.8197,0.6
168,1,1,0,1,unweighted,0.4289,0.9243,0.8731,0.6
169,1,1,0,1,linear,0.7104,0.9243,0.8731,0.6
170,1,1,0,1,quadratic,0.8331,0.9243,0.8731,0.6
171,1,1,0,1,unweighted,0.4304,0.8835,0.8542,0.6
172,1,1,0,1,linear,0.7095,0.8835,0.8542,0.6
173,1,1,0,1,quadratic,0.8328,0.8835,0.8542,0.6
174,1,1,0,1,unweighted,0.4136,0.9223,0.8731,0.6
175,1,1,0,1,linear,0.6996,0.9223,0.8731,0.6
176,1,1,0,1,quadratic,0.8255,0.9223,0.8731,0.6
177,1,1,0,1,unweighted,0.4051,0.8939,0.852,0.6
178,1,1,0,1,linear,0.7058,0.8939,0.852,0.6
179,1,1,0,1,quadratic,0.8358,0.8939,0.852,0.6
180,2,1,0,1,unweighted,0.499,0.9714,0.875,0.6
181,2,1,0,1,linear,0.7113,0.9714,0.875,0.6
