,test_id,kcid,lmc_prior_code,lengthscale_prior_code,time_to_converge,iterations_to_converge,subset
55,1.0,1.0,0.0,1.0,32.450822,259.0,0.6
56,1.0,1.0,0.0,1.0,91.568924,769.0,0.6
57,1.0,1.0,0.0,1.0,96.842142,827.0,0.6
58,1.0,1.0,0.0,1.0,78.648743,684.0,0.6
59,1.0,1.0,0.0,1.0,106.886723,889.0,0.6
60,2.0,1.0,0.0,1.0,231.643227,1855.0,0.6
61,2.0,1.0,0.0,1.0,232.994776,1948.0,0.6
62,2.0,1.0,0.0,1.0,241.410101,2046.0,0.6
63,2.0,1.0,0.0,1.0,226.540848,1864.0,0.6
64,2.0,1.0,0.0,1.0,240.613648,2125.0,0.6
65,2.0,1.0,0.0,1.0,234.996636,2025.0,0.6
66,2.0,1.0,0.0,1.0,170.515507,1475.0,0.6
67,2.0,1.0,0.0,1.0,265.870385,2332.0,0.6
68,2.0,1.0,0.0,1.0,209.875177,1889.0,0.6
69,2.0,1.0,0.0,1.0,217.308946,1919.0,0.6
70,3.0,1.0,2.0,1.0,31.345174,725.0,0.6
71,3.0,1.0,2.0,1.0,39.76782,928.0,0.6
72,3.0,1.0,2.0,1.0,29.352133,645.0,0.6
73,3.0,1.0,2.0,1.0,34.088798,725.0,0.6
74,3.0,1.0,2.0,1.0,32.238847,725.0,0.6
75,3.0,1.0,2.0,1.0,32.212436,725.0,0.6
76,3.0,1.0,2.0,1.0,34.594284,780.0,0.6
77,3.0,1.0,2.0,1.0,47.070578,986.0,0.6
78,3.0,1.0,2.0,1.0,24.365259,547.0,0.6
79,3.0,1.0,2.0,1.0,34.408029,725.0,0.6
80,0.0,2.0,2.0,1.0,114.979807,889.0,0.6
81,0.0,2.0,2.0,1.0,61.836923,506.0,0.6
82,0.0,2.0,2.0,1.0,61.974457,496.0,0.6
83,0.0,2.0,2.0,1.0,75.094523,614.0,0.6
84,0.0,2.0,2.0,1.0,90.803797,720.0,0.6
85,0.0,2.0,2.0,1.0,124.304918,1000.0,0.6
86,0.0,2.0,2.0,1.0,87.170878,720.0,0.6
87,0.0,2.0,2.0,1.0,87.797447,721.0,0.6
88,0.0,2.0,2.0,1.0,59.743488,506.0,0.6
89,0.0,2.0,2.0,1.0,102.118348,853.0,0.6
90,1.0,2.0,0.0,1.0,77.105933,634.0,0.6
91,1.0,2.0,0.0,1.0,95.779126,789.0,0.6
92,1.0,2.0,0.0,1.0,85.870779,720.0,0.6
93,1.0,2.0,0.0,1.0,104.431812,889.0,0.6
94,1.0,2.0,0.0,1.0,91.872396,743.0,0.6
95,1.0,2.0,0.0,1.0,84.028424,696.0,0.6
